Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
El Salvador,<1000 [<1000 - 1200],<1000 [<1000 - 1300],1100 [<1000 - 1400],1200 [<1000 - 1600],1400 [<1000 - 1800],1500 [1100 - 1900],1600 [1200 - 2000],1700 [1400 - 2200],1800 [1400 - 2300],1900 [1300 - 2400],1900 [1200 - 2500],1900 [1100 - 2600],1900 [<1000 - 2600],1800 [<1000 - 2700],1700 [<1000 - 2700],1600 [<1000 - 2700],1500 [<1000 - 2700],1400 [<1000 - 2700],1300 [<500 - 2600],1200 [<500 - 2500],1100 [<500 - 2400],1000 [<500 - 2200],<1000 [<500 - 2000],<1000 [<500 - 1800],<1000 [<200 - 1700]
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,1600 [1200 - 1900]
Eritrea,1900 [<1000 - 4300],2300 [1100 - 4800],2500 [1400 - 4800],2800 [1700 - 4800],2800 [1700 - 4500],2700 [1800 - 4300],2700 [1800 - 4100],2400 [1700 - 3600],2200 [1600 - 3200],2000 [1400 - 2800],1800 [1300 - 2500],1600 [1200 - 2300],1400 [<1000 - 2000],1200 [<1000 - 1800],1100 [<1000 - 1600],<1000 [<1000 - 1300],<1000 [<1000 - 1100],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000]
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,<100 [<100 - <200]
Gabon,1700 [1400 - 2300],2200 [1800 - 2800],2700 [2200 - 3500],3300 [2700 - 4200],4000 [3300 - 4900],4500 [3800 - 5600],5000 [4200 - 6100],5400 [4600 - 6600],5700 [4800 - 6800],5800 [5000 - 7000],5700 [4900 - 6900],5500 [4700 - 6600],5200 [4400 - 6100],4700 [4000 - 5600],4300 [3700 - 5100],3900 [3300 - 4500],3400 [2900 - 4000],3000 [2600 - 3500],2700 [2200 - 3200],2400 [1800 - 2900],2100 [1600 - 2600],1900 [1400 - 2500],1800 [1200 - 2300],1600 [1000 - 2200],1500 [<1000 - 2100]
Gambia,<500 [<200 - <500],<500 [<500 - <500],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - 1000],<1000 [<1000 - 1300],1200 [<1000 - 1600],1400 [1100 - 1900],1700 [1300 - 2200],1900 [1500 - 2400],2000 [1600 - 2600],2100 [1700 - 2700],2200 [1700 - 2700],2100 [1700 - 2700],2200 [1700 - 2700],2200 [1700 - 2700],2000 [1600 - 2500],1900 [1500 - 2400],1800 [1400 - 2200],1700 [1300 - 2100],1600 [1200 - 2000],1500 [1100 - 1900],1400 [1000 - 1800],1400 [1100 - 1700],1400 [1100 - 1700]
Georgia,<200 [<100 - <500],<200 [<100 - <200],<200 [<100 - <200],<200 [<200 - <200],<200 [<100 - <200],<200 [<100 - <200],<200 [<100 - <500],<200 [<200 - <500],<200 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <500],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000]
Ghana,21 000 [15 000 - 29 000],23 000 [17 000 - 31 000],25 000 [19 000 - 33 000],27 000 [20 000 - 35 000],30 000 [22 000 - 38 000],30 000 [22 000 - 38 000],30 000 [23 000 - 38 000],29 000 [23 000 - 36 000],28 000 [22 000 - 35 000],27 000 [21 000 - 34 000],26 000 [20 000 - 32 000],24 000 [19 000 - 31 000],23 000 [18 000 - 30 000],22 000 [17 000 - 29 000],21 000 [16 000 - 28 000],20 000 [15 000 - 27 000],19 000 [14 000 - 26 000],18 000 [13 000 - 25 000],17 000 [12 000 - 24 000],16 000 [12 000 - 23 000],15 000 [11 000 - 22 000],13 000 [9000 - 20 000],12 000 [8100 - 19 000],12 000 [7900 - 18 000],11 000 [7400 - 18 000]
Guatemala,<200 [<100 - <500],<500 [<100 - <1000],<500 [<200 - 1000],<1000 [<500 - 1600],1200 [<500 - 2500],1800 [<1000 - 3600],2500 [1100 - 5100],3200 [1600 - 6100],3900 [2100 - 6800],4600 [2600 - 7800],5000 [2900 - 8600],4800 [2800 - 7900],4500 [2700 - 7600],4400 [2600 - 7300],4000 [2400 - 6800],3500 [2100 - 5900],3200 [1800 - 5600],3100 [1800 - 5300],3000 [1700 - 4900],2900 [1600 - 4600],3000 [1600 - 4700],2900 [1500 - 4600],2900 [1500 - 4600],2900 [1500 - 4500],2900 [1500 - 4600]
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,7200 [5200 - 9800]
Guinea-Bissau,<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - 1100],1000 [<1000 - 1400],1200 [<1000 - 1700],1600 [1200 - 2000],1900 [1500 - 2400],2200 [1800 - 2800],2700 [2200 - 3200],3100 [2600 - 3600],3500 [2900 - 4000],3800 [3300 - 4400],4100 [3500 - 4600],4300 [3700 - 4800],4300 [3900 - 4800],4300 [3900 - 4800],4300 [3800 - 4800],4200 [3800 - 4700],4100 [3600 - 4600],3900 [3500 - 4500],3700 [3200 - 4300],3600 [3000 - 4200],3400 [2800 - 4100],2900 [2300 - 3600],3000 [2400 - 3800]
Guyana,<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <100],<100 [<100 - <200],<200 [<100 - <200],<200 [<200 - <500],<500 [<200 - <500],<500 [<500 - <1000],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1100],<1000 [<1000 - 1100],<1000 [<1000 - 1200],<1000 [<1000 - 1200],<1000 [<1000 - 1100],<1000 [<500 - 1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - 1100],<1000 [<500 - 1300],<1000 [<1000 - 1500],<1000 [<1000 - 1700]
Haiti,17 000 [12 000 - 24 000],19 000 [14 000 - 25 000],20 000 [16 000 - 25 000],21 000 [18 000 - 25 000],21 000 [18 000 - 24 000],21 000 [18 000 - 24 000],18 000 [16 000 - 21 000],18 000 [16 000 - 21 000],16 000 [14 000 - 19 000],14 000 [12 000 - 16 000],13 000 [11 000 - 15 000],12 000 [9700 - 14 000],11 000 [9000 - 12 000],9500 [8300 - 11 000],9500 [8400 - 11 000],8500 [7600 - 9600],8700 [7900 - 9900],8700 [7700 - 10 000],8300 [7200 - 9500],8400 [7000 - 9800],8700 [7400 - 10 000],8100 [6600 - 9700],7500 [5900 - 9500],7100 [5000 - 9500],6800 [4100 - 9800]
Honduras,5500 [4000 - 7600],6000 [4600 - 7600],5700 [4700 - 7100],5500 [4500 - 6500],5100 [4200 - 6000],4700 [3900 - 5500],4200 [3500 - 4900],3600 [3000 - 4200],3000 [2500 - 3600],2500 [2100 - 3000],2100 [1700 - 2500],1700 [1400 - 2000],1400 [1200 - 1700],1200 [<1000 - 1500],1100 [<1000 - 1400],<1000 [<1000 - 1300],<1000 [<1000 - 1200],<1000 [<1000 - 1100],<1000 [<1000 - 1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000]
Indonesia,<100 [<100 - <100],<200 [<100 - <200],<500 [<500 - <500],<500 [<500 - <500],<1000 [<1000 - 1000],1800 [1700 - 2000],3300 [3000 - 3500],5100 [4700 - 5700],7400 [6700 - 8000],10 000 [8900 - 11 000],14 000 [13 000 - 16 000],22 000 [20 000 - 25 000],37 000 [34 000 - 41 000],50 000 [46 000 - 55 000],55 000 [50 000 - 60 000],59 000 [53 000 - 65 000],63 000 [57 000 - 69 000],66 000 [60 000 - 73 000],63 000 [57 000 - 69 000],67 000 [61 000 - 73 000],68 000 [62 000 - 75 000],69 000 [62 000 - 75 000],69 000 [62 000 - 75 000],69 000 [62 000 - 75 000],69 000 [63 000 - 76 000]
Iran (Islamic Republic of),<500 [<200 - 2500],<500 [<200 - 2700],<500 [<200 - 2000],<500 [<200 - 1800],<1000 [<500 - 2400],<1000 [<500 - 3800],1400 [<500 - 5600],2200 [<1000 - 6500],3300 [1400 - 7000],4600 [2300 - 8100],5400 [3300 - 8300],5800 [3700 - 8500],5900 [3700 - 8500],5800 [3700 - 8100],5800 [3800 - 8100],6100 [4100 - 8700],6200 [4200 - 9100],6400 [4300 - 9700],6400 [4300 - 10 000],6900 [4600 - 12 000],7200 [4700 - 13 000],7300 [4600 - 14 000],7300 [4500 - 15 000],7400 [4400 - 16 000],7400 [4300 - 16 000]
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,<500 [<100 - <1000]
Jamaica,3900 [2700 - 10 000],4400 [3300 - 9800],3500 [2800 - 5300],3600 [3000 - 4800],3700 [3100 - 4800],3700 [3200 - 4500],3600 [3100 - 4500],3500 [3000 - 4400],3400 [2800 - 4200],3200 [2700 - 4000],3000 [2500 - 3800],2800 [2300 - 3600],2500 [2100 - 3400],2400 [2000 - 3200],2200 [1800 - 3000],2000 [1700 - 2800],1900 [1500 - 2600],1700 [1400 - 2500],1600 [1300 - 2300],1600 [1300 - 2300],1500 [1200 - 2200],1500 [1200 - 2100],1500 [1200 - 2100],1500 [1200 - 2100],1500 [1100 - 2100]
Kazakhstan,<200 [<100 - <500],<200 [<100 - <500],<200 [<200 - <500],<500 [<200 - <500],<500 [<200 - <500],<500 [<500 - <1000],<1000 [<500 - <1000],<1000 [<500 - <1000],<1000 [<1000 - 1000],1200 [<1000 - 1700],1500 [1100 - 2100],1700 [1300 - 2200],1400 [1000 - 1500],1300 [1100 - 1600],1400 [1200 - 1600],1400 [1200 - 1600],1400 [1300 - 1700],1500 [1400 - 1800],1600 [1500 - 1900],1800 [1600 - 2000],1900 [1700 - 2200],2000 [1700 - 2300],2100 [1800 - 2500],2200 [1800 - 2700],2300 [1800 - 3000]
